sigla_tribunal,total_julgados_2026,Meta1,Meta2A,Meta2Ant,Meta4A,Meta4B
TRE-AC,42,64.62,138.19,0.00,0.00,12.50
TRE-AL,78,15.79,131.47,0.00,0.00,5.68
TRE-AP,19,41.30,140.43,0.00,0.00,6.25
TRE-AM,281,40.55,137.40,0.00,0.00,11.11
TRE-BA,387,53.01,141.55,3.03,0.00,13.28
TRE-CE,108,59.34,140.17,0.00,0.00,7.47
TRE-DF,8,21.05,75.37,0.00,0.00,0.00
TRE-ES,242,49.69,135.76,0.00,0.00,11.59
TRE-GO,263,35.88,136.25,0.92,0.00,16.52
TRE-MA,214,37.94,139.83,4.08,0.00,15.86
TRE-MT,0,0.00,139.52,0.00,0.00,0.00
TRE-MS,88,72.13,134.38,0.00,0.00,15.56
TRE-MG,613,23.47,137.72,0.00,0.00,4.92
TRE-PA,291,31.66,139.77,0.00,0.00,17.90
TRE-PB,282,39.66,130.18,0.00,0.00,22.16
TRE-PR,397,55.37,140.50,0.00,0.00,20.00
TRE-PE,107,25.06,141.09,0.00,0.00,0.00
TRE-PI,223,30.01,134.97,0.00,33.33,19.64
TRE-RJ,66,11.26,125.69,0.00,0.00,0.25
TRE-RN,461,45.20,138.15,0.00,11.11,20.37
TRE-RS,591,37.69,139.99,2.78,0.00,3.57
TRE-RO,87,74.36,139.58,0.00,50.00,19.70
TRE-RR,16,30.19,138.73,0.00,0.00,0.00
TRE-SC,260,35.62,138.88,0.00,10.00,3.85
TRE-SP,2153,56.41,135.35,0.59,0.00,19.94
TRE-SE,111,39.93,135.17,0.00,0.00,12.00
TRE-TO,84,36.84,140.32,0.00,0.00,2.13
